Monat,Partner_Gesamt,ODL_Aktiv,ODL_Adoptionsrate_%,ODL_Volumen_Mrd_USD_Konservativ,ODL_Volumen_Mrd_USD_Optimistisch,XRP_Preis_USD_Konservativ,XRP_Preis_USD_Optimistisch,Marktkapitalisierung_Mrd_USD_Konservativ,Marktkapitalisierung_Mrd_USD_Optimistisch
2026-01,305,125,41.0,1522,1537,1.67,1.68,75.2,75.6
2026-02,306,125,40.8,1545,1575,1.68,1.70,75.6,76.5
2026-03,307,126,41.0,1567,1613,1.69,1.72,76.1,77.4
2026-04,307,126,41.0,1590,1651,1.71,1.74,77.0,78.3
2026-05,308,127,41.2,1613,1690,1.72,1.76,77.4,79.2
2026-06,309,127,41.1,1636,1729,1.73,1.78,77.9,80.1
2026-07,310,128,41.3,1659,1768,1.74,1.80,78.3,81.0
2026-08,311,128,41.2,1682,1808,1.76,1.82,79.2,81.9
2026-09,311,128,41.2,1705,1848,1.77,1.84,79.7,82.8
2026-10,312,129,41.3,1728,1889,1.78,1.86,80.1,83.7
2026-11,313,129,41.2,1749,1930,1.79,1.88,80.6,84.6
2026-12,314,129,41.1,1770,1950,1.80,1.89,81.0,85.1
