Monat,Partner_IST,ODL_Aktiv_IST,ODL_Volumen_Mrd_USD_IST,XRP_Preis_USD_IST,Datenquelle_Partner,Datenquelle_ODL_Volumen,Datenquelle_XRP_Preis,Erfasst_am
2026-01,305.0,125.0,,1.95,"MEXC, AOL (14. Jan 2026)",Nicht öffentlich verfügbar,TwelveData (Monatsdurchschnitt),2026-02-12
2026-02,308.0,123.0,,1.43,"247wallst.com (24. Feb 2026): ""300-plus"", +3 EU-Partner bestätigt",Nicht öffentlich verfügbar,"Yahoo Finance (Monatsdurchschnitt, 28 Tage)",2026-03-05
2026-03,,,,,,,,
2026-04,,,,,,,,
2026-05,,,,,,,,
2026-06,,,,,,,,
2026-07,,,,,,,,
2026-08,,,,,,,,
2026-09,,,,,,,,
2026-10,,,,,,,,
2026-11,,,,,,,,
2026-12,,,,,,,,
